"","flow","rivseg","basin","river","DAsqmi","bascd","Upstream","Downstream","downseg","upseg"
"190",1,"JB1_8090_0001","James River Basin","Lake Mead Dam",64.04730225,"JB","8090","0001","NA","NA"
"199",1,"PL1_5230_0001","Potomac River Basin","Mattawoman Creek",55.52690125,"PL","5230","0001","NA","NA"
"200",0,"PL0_5251_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",51.91360092,"PL","5251","0000","NA","NA"
"201",0,"PL0_5290_0000","Potomac River Basin","Potomac River",7.771009922,"PL","5290","0000","NA","NA"
"203",0,"XL0_5342_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",10.18550014,"XL","5342","0000","NA","NA"
"204",0,"XL0_5343_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",5.966370106,"XL","5343","0000","NA","NA"
"205",0,"XL0_5344_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",6.358850002,"XL","5344","0000","NA","NA"
"206",0,"XL0_5345_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",7.757999897,"XL","5345","0000","NA","NA"
"207",0,"PL0_5496_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",0.954213977,"PL","5496","0000","NA","NA"
"208",0,"PL0_5253_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",0.269890994,"PL","5253","0000","NA","NA"
"209",0,"PL0_5252_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",0.662881017,"PL","5252","0000","NA","NA"
"210",7,"PL7_4984_0000","Potomac River Basin","Potomac River",0.141442999,"PL","4984","0000","NA","NA"
"211",7,"PL7_4983_0000","Potomac River Basin","Potomac River",0.663904011,"PL","4983","0000","NA","NA"
"212",7,"PL7_4982_0000","Potomac River Basin","Potomac River",0.923502028,"PL","4982","0000","NA","NA"
"213",7,"PL7_4963_0000","Potomac River Basin","Potomac River",0.396337003,"PL","4963","0000","NA","NA"
"214",7,"PL7_4942_0000","Potomac River Basin","Potomac River",0.259433001,"PL","4942","0000","NA","NA"
"215",7,"PL7_4965_0000","Potomac River Basin","Potomac River",1.235910058,"PL","4965","0000","NA","NA"
"229",7,"PL7_4910_0000","Potomac River Basin","Potomac River",0.546141028,"PL","4910","0000","NA","NA"
"230",7,"PL7_4940_0000","Potomac River Basin","Potomac River",1.799769998,"PL","4940","0000","NA","NA"
"231",2,"PL2_4945_0000","Potomac River Basin","Bull Run",20.00419998,"PL","4945","0000","NA","NA"
"232",7,"PL7_4960_0000","Potomac River Basin","Potomac River",2.266380072,"PL","4960","0000","NA","NA"
"233",0,"PL0_4961_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",26.14010048,"PL","4961","0000","NA","NA"
"235",7,"PL7_4980_0000","Potomac River Basin","Potomac River",10.93060017,"PL","4980","0000","NA","NA"
"236",0,"PL0_5000_0001","Potomac River Basin","Holmes Run",34.79949951,"PL","5000","0001","NA","NA"
"238",1,"PL1_5060_0000","Potomac River Basin","Piscataway Creek",23.33239937,"PL","5060","0000","NA","NA"
"239",1,"PL1_5061_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",5.751840115,"PL","5061","0000","NA","NA"
"240",0,"PL0_5070_0001","Potomac River Basin","Piscataway Creek",38.99319839,"PL","5070","0001","NA","NA"
"241",0,"PL0_5090_0000","Potomac River Basin","Holmes Run",9.763429642,"PL","5090","0000","NA","NA"
"242",0,"PL0_5131_0000","Potomac River Basin","Accotink Creek",40.23220062,"PL","5131","0000","NA","NA"
"244",0,"PL0_5390_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",21.40870094,"PL","5390","0000","NA","NA"
"245",0,"PL0_5440_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",23.57250023,"PL","5440","0000","NA","NA"
"246",0,"PL0_5450_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",24.78809929,"PL","5450","0000","NA","NA"
"247",0,"PL0_5493_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",40.06689835,"PL","5493","0000","NA","NA"
"248",0,"PL0_5491_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",19.59129906,"PL","5491","0000","NA","NA"
"249",0,"PL0_5510_0001","Potomac River Basin","Gilbert Swamp Run",43.36470032,"PL","5510","0001","NA","NA"
"252",0,"PL0_5580_0000","Potomac River Basin","Nanjemoy Creek",22.28240013,"PL","5580","0000","NA","NA"
"253",0,"PL0_5581_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",14.09230042,"PL","5581","0000","NA","NA"
"254",0,"PL0_5582_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",14.05220032,"PL","5582","0000","NA","NA"
"255",0,"PL0_5583_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",10.52210045,"PL","5583","0000","NA","NA"
"256",0,"PL0_5584_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",20.23139954,"PL","5584","0000","NA","NA"
"257",0,"PL0_5585_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",10.87709999,"PL","5585","0000","NA","NA"
"258",0,"PL0_5670_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",25.83519936,"PL","5670","0000","NA","NA"
"259",0,"PL0_5671_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",18.86730003,"PL","5671","0000","NA","NA"
"260",0,"PL0_5672_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",30.17239952,"PL","5672","0000","NA","NA"
"261",0,"PL0_5720_0001","Potomac River Basin","Nanajemoy Creek",15.11170006,"PL","5720","0001","NA","NA"
"263",0,"PL0_5750_0001","Potomac River Basin","St Clement Creek",18.55430031,"PL","5750","0001","NA","NA"
"264",0,"PL0_5790_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",27.40139961,"PL","5790","0000","NA","NA"
"265",0,"PL0_5930_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",12.52009964,"PL","5930","0000","NA","NA"
"266",0,"PL0_5950_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",15.73579979,"PL","5950","0000","NA","NA"
"267",0,"PL0_5951_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",6.841889858,"PL","5951","0000","NA","NA"
"268",0,"PL0_5952_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",5.23815012,"PL","5952","0000","NA","NA"
"269",0,"PL0_5960_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",16.06520081,"PL","5960","0000","NA","NA"
"270",0,"PL0_5961_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",3.782219887,"PL","5961","0000","NA","NA"
"271",0,"PL0_5962_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",5.887579918,"PL","5962","0000","NA","NA"
"272",0,"PL0_5980_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",11.42319965,"PL","5980","0000","NA","NA"
"273",0,"PL0_5981_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",16.91720009,"PL","5981","0000","NA","NA"
"274",0,"PL0_5982_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",18.08760071,"PL","5982","0000","NA","NA"
"275",0,"PL0_5983_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",1.631559968,"PL","5983","0000","NA","NA"
"276",0,"PL0_6020_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",6.266409874,"PL","6020","0000","NA","NA"
"277",0,"PL0_6060_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",20.42939949,"PL","6060","0000","NA","NA"
"278",0,"PL0_6100_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",69.79889679,"PL","6100","0000","NA","NA"
"279",0,"PL0_6110_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",12.61709976,"PL","6110","0000","NA","NA"
"280",0,"PL0_6130_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",77.00959778,"PL","6130","0000","NA","NA"
"281",0,"PL0_6140_0000","Potomac River Basin","Great Wicomico River",56.4632988,"PL","6140","0000","NA","NA"
"282",0,"PL0_6270_0000","Potomac River Basin","Great Wicomico River",52.8083992,"PL","6270","0000","NA","NA"
"326",5,"RL5_6070_0000","Rappahannock River Basin","Rappahannock River",334.5299988,"RL","6070","0000","NA","NA"
"327",1,"RL1_6180_0001","Rappahannock River Basin","Cat Point Creek",44.58789825,"RL","6180","0001","NA","NA"
"328",5,"RL5_6320_0000","Rappahannock River Basin","Piscataway Creek",27.08589935,"RL","6320","0000","NA","NA"
"329",5,"RL5_6321_0000","Rappahannock River Basin","Drains to Tidal Water - No River Simulation",81.14330292,"RL","6321","0000","NA","NA"
"330",1,"RL1_6322_0000","Rappahannock River Basin","Cat Point Creek",29.13820076,"RL","6322","0000","NA","NA"
"336",0,"WL0_4420_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",24.09589958,"WL","4420","0000","NA","NA"
"337",0,"WL0_4421_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",10.87250042,"WL","4421","0000","NA","NA"
"338",0,"WL0_4422_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",5.615610123,"WL","4422","0000","NA","NA"
"339",0,"WL0_4423_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",16.62450027,"WL","4423","0000","NA","NA"
"340",0,"WL0_4600_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",34.50389862,"WL","4600","0000","NA","NA"
"341",0,"WL0_4601_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",4.774290085,"WL","4601","0000","NA","NA"
"342",0,"WL0_4602_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",13.62300014,"WL","4602","0000","NA","NA"
