FID,FID_P5CALI,AREA_,PERIMETER,ALLSITES_,ALLSITES_I,STAID,NAME,POLYGONID,SCALE,ANGLE,FID_P5RIVE,MAJOR,MINOR,UNIQID,DSID,FLOW,CATCODE2,TIDALWATER,TTB03,TSB03,MAJMIN
121,122,0,0,122,138,01611500,"CACAPON RIVER NEAR GREAT CACAPON, WV",0,1,1,846,P,U,3860,3610,3,PU3_3860_3610,N,"WV, Potm, East Panhandle Soil Consv District","WV, East Panhandle and Potomac Valley",PU
122,123,0,0,123,139,01613000,"POTOMAC RIVER AT HANCOCK, MD",0,1,1,810,P,U,3530,3440,6,PU6_3530_3440,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
123,124,0,0,124,142,01614500,"CONOCOCHEAGUE CREEK AT FAIRVIEW, MD",0,1,1,801,P,U,3290,3390,3,PU3_3290_3390,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
124,125,0,0,125,143,01615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",0,1,1,889,P,U,4730,4220,2,PU2_4730_4220,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PU
125,126,0,0,126,144,01616500,"OPEQUON CREEK NEAR MARTINSBURG, WV",0,1,1,855,P,U,3900,3750,2,PU2_3900_3750,N,"WV, Potm, East Panhandle Soil Consv District","WV, East Panhandle and Potomac Valley",PU
126,127,0,0,127,145,01618000,"POTOMAC RIVER AT SHEPHERDSTOWN, WV",0,1,1,868,P,U,4080,4180,6,PU6_4080_4180,N,"WV, Potm, East Panhandle Soil Consv District","WV, East Panhandle and Potomac Valley",PU
127,128,0,0,128,147,01619500,"ANTIETAM CREEK NEAR SHARPSBURG, MD",0,1,1,866,P,U,4050,4180,2,PU2_4050_4180,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
128,129,0,0,129,148,01622000,"NORTH RIVER NEAR BURKETOWN, VA",0,1,1,771,P,S,6161,6280,3,PS3_6161_6280,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
129,130,0,0,130,150,01625000,"MIDDLE RIVER NEAR GROTTOES, VA",0,1,1,776,P,S,6460,6230,3,PS3_6460_6230,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
130,131,0,0,131,151,01626000,"SOUTH RIVER NEAR WAYNESBORO, VA",0,1,1,779,P,S,6730,6660,2,PS2_6730_6660,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
131,132,0,0,132,152,01626850,"SOUTH RIVER NEAR DOOMS, VA",0,1,1,777,P,S,6490,6420,2,PS2_6490_6420,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
132,133,0,0,133,153,01627500,"SOUTH RIVER AT HARRISTON, VA",0,1,1,775,P,S,6420,6360,2,PS2_6420_6360,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
133,134,0,0,134,155,01628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",0,1,1,767,P,S,5840,5240,4,PS4_5840_5240,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
134,135,0,0,135,156,01629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",0,1,1,763,P,S,5240,5200,5,PS5_5240_5200,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
135,136,0,0,136,157,01631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",0,1,1,762,P,S,5200,4380,5,PS5_5200_4380,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
136,137,0,0,137,158,01632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",0,1,1,766,P,S,5560,5100,2,PS2_5560_5100,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
137,138,0,0,138,161,01633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",0,1,1,761,P,S,5100,5080,3,PS3_5100_5080,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
138,139,0,0,139,162,01634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",0,1,1,761,P,S,5100,5080,3,PS3_5100_5080,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
139,140,0,0,140,163,01634500,"CEDAR CREEK NEAR WINCHESTER, VA",0,1,1,759,P,S,4830,5080,1,PS1_4830_5080,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
140,141,0,0,141,165,01636500,"SHENANDOAH RIVER AT MILLVILLE, WV",0,1,1,755,P,S,4370,4150,5,PS5_4370_4150,N,"WV, Potm, East Panhandle Soil Consv District","WV, East Panhandle and Potomac Valley",PS
141,142,0,0,142,166,01637500,"CATOCTIN CREEK NEAR MIDDLETOWN, MD",0,1,1,727,P,M,3510,4000,1,PM1_3510_4000,N,"MD, Potomac, Upper","MD, Potomac, Upper",PM
142,143,0,0,143,167,01638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",0,1,1,740,P,M,4430,4200,1,PM1_4430_4200,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PM
143,144,0,0,144,168,01638500,"POTOMAC RIVER AT POINT OF ROCKS, MD",0,1,1,733,P,M,4200,4410,7,PM7_4200_4410,N,"MD, Potomac, Upper","MD, Potomac, Upper",PM
144,145,0,0,145,169,01639000,"MONOCACY RIVER AT BRIDGEPORT, MD",0,1,1,720,P,M,3040,3340,3,PM3_3040_3340,N,"MD, Potomac, Upper","MD, Potomac, Upper",PM
145,146,0,0,146,171,01639500,"BIG PIPE CREEK AT BRUCEVILLE, MD",0,1,1,722,P,M,3120,3400,1,PM1_3120_3400,N,"MD, Potomac, Upper","MD, Potomac, Upper",PM
146,147,0,0,147,172,01643000,"MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD",0,1,1,730,P,M,4040,4410,4,PM4_4040_4410,N,"MD, Potomac, Upper","MD, Potomac, Upper",PM
147,148,0,0,148,174,01643700,"GOOSE CREEK NEAR MIDDLEBURG, VA",0,1,1,749,P,M,4670,4660,3,PM3_4670_4660,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PM
148,149,0,0,149,175,01644000,"GOOSE CREEK NEAR LEESBURG, VA",0,1,1,748,P,M,4660,4620,3,PM3_4660_4620,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PM
149,150,0,0,150,176,01645000,"SENECA CREEK AT DAWSONVILLE, MD",0,1,1,735,P,M,4250,4500,1,PM1_4250_4500,N,"MD, Potmac, Middle","MD, Potmac, Middle",PM
150,151,0,0,151,178,01646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",0,1,1,751,P,M,4820,1,7,PM7_4820_0001,N,"MD, Potmac, Middle","MD, Potmac, Middle",PM
151,152,0,0,152,179,01646502,"POTOMAC RIVER (ADJUSTED) NEAR WASH, DC",0,1,1,751,P,M,4820,1,7,PM7_4820_0001,N,"MD, Potmac, Middle","MD, Potmac, Middle",PM
152,153,0,0,153,180,01648000,"ROCK CREEK AT SHERRILL DRIVE WASHINGTON, DC",0,1,1,591,P,L,4460,4780,1,PL1_4460_4780,N,"DC, Potomac River","DC, Potomac River",PL
153,154,0,0,154,181,01649500,"NORTH EAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",0,1,1,595,P,L,4540,1,1,PL1_4540_0001,N,"MD, Potmac, Middle","MD, Potmac, Middle",PL
154,155,0,0,155,182,01651000,"NW BRANCH ANACOSTIA RIVER NEAR HYATTSVILLE, MD",0,1,1,594,P,L,4510,1,0,PL0_4510_0001,N,"MD, Potmac, Middle","MD, Potmac, Middle",PL
155,156,0,0,156,183,01653000,"CAMERON RUN AT ALEXANDRIA, VA",0,1,1,623,P,L,5090,0,0,PL0_5090_0000,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PL
156,157,0,0,157,184,01653600,"PISCATAWAY CREEK AT PISCATAWAY, MD",0,1,1,619,P,L,5060,0,1,PL1_5060_0000,N,"MD, Potmac, Middle","MD, Potmac, Middle",PL
157,158,0,0,158,185,01654000,"ACCOTINK CREEK NEAR ANNANDALE, VA",0,1,1,618,P,L,5010,5130,0,PL0_5010_5130,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PL
158,159,0,0,159,186,01656000,"CEDAR RUN NEAR CATLETT, VA",0,1,1,642,P,L,5470,5360,2,PL2_5470_5360,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PL
159,160,0,0,160,187,01658500,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",0,1,1,643,P,L,5490,1,0,PL0_5490_0001,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PL
160,161,0,0,161,188,01660400,"AQUIA CREEK NEAR GARRISONVILLE, VA",0,1,1,666,P,L,5690,1,1,PL1_5690_0001,N,"VA, Potomac, Lower","VA, Potomac and Shenandoah",PL
161,162,0,0,162,189,01660920,"ZEKIAH SWAMP RUN NEAR NEWTOWN, MD",0,1,1,635,P,L,5300,5630,2,PL2_5300_5630,N,"MD, Potomac, Lower","MD, Potomac, Lower",PL
162,163,0,0,163,190,01661050,"ST CLEMENT CREEK NEAR CLEMENTS, MD",0,1,1,672,P,L,5750,1,0,PL0_5750_0001,N,"MD, Potomac, Lower","MD, Potomac, Lower",PL
163,164,0,0,164,191,01661500,"ST MARYS RIVER AT GREAT MILLS, MD",0,1,1,699,P,L,5981,0,0,PL0_5981_0000,N,"MD, Potomac, Lower","MD, Potomac, Lower",PL
164,165,0,0,165,193,01663500,"HAZEL RIVER AT RIXEYVILLE, VA",0,1,1,928,R,U,5610,5640,3,RU3_5610_5640,N,"VA, Rappahannock, Upper","VA, Rappahannock",RU
165,166,0,0,166,194,01664000,"RAPPAHANNOCK RIVER AT REMINGTON, VA",0,1,1,930,R,U,5640,6030,4,RU4_5640_6030,N,"VA, Rappahannock, Upper","VA, Rappahannock",RU
166,167,0,0,167,196,01665500,"RAPIDAN RIVER NEAR RUCKERSVILLE, VA",0,1,1,939,R,U,6220,6170,2,RU2_6220_6170,N,"VA, Rappahannock, Upper","VA, Rappahannock",RU
167,168,0,0,168,197,01666500,"ROBINSON RIVER NEAR LOCUST DALE, VA",0,1,1,938,R,U,6200,6170,2,RU2_6200_6170,N,"VA, Rappahannock, Upper","VA, Rappahannock",RU
168,169,0,0,169,198,01667500,"RAPIDAN RIVER NEAR CULPEPER, VA",0,1,1,935,R,U,6040,6030,4,RU4_6040_6030,N,"VA, Rappahannock, Upper","VA, Rappahannock",RU
169,170,0,0,170,199,01668000,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",0,1,1,908,R,L,6070,0,5,RL5_6070_0000,N,"VA, Rappahannock, Lower","VA, Rappahannock",RL
170,171,0,0,171,200,01668500,"CAT POINT CREEK NEAR MONTROSS, VA",0,1,1,915,R,L,6322,0,1,RL1_6322_0000,N,"VA, Rappahannock, Lower","VA, Rappahannock",RL
171,172,0,0,172,201,01669000,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA",0,1,1,911,R,L,6320,0,5,RL5_6320_0000,N,"VA, Rappahannock, Lower","VA, Rappahannock",RL
172,173,0,0,173,202,01670400,"NORTH ANNA RIVER NEAR PARTLOW, VA",0,1,1,1467,Y,P,6330,6700,3,YP3_6330_6700,N,"VA, York","VA, York",YP
173,174,0,0,174,203,01671020,"NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL, VA",0,1,1,1475,Y,P,6700,6670,3,YP3_6700_6670,N,"VA, York","VA, York",YP
174,175,0,0,175,204,01671100,"LITTLE RIVER NEAR DOSWELL, VA",0,1,1,1471,Y,P,6570,6680,1,YP1_6570_6680,N,"VA, York","VA, York",YP
175,176,0,0,176,205,01672500,"SOUTH ANNA RIVER NEAR ASHLAND, VA",0,1,1,1474,Y,P,6690,6720,3,YP3_6690_6720,N,"VA, York","VA, York",YP
176,177,0,0,177,206,01673000,"PAMUNKEY RIVER NEAR HANOVER, VA",0,1,1,1477,Y,P,6750,1,4,YP4_6750_0001,N,"VA, York","VA, York",YP
177,178,0,0,178,207,01673550,"TOTOPOTOMOY CREEK NEAR STUDLEY, VA",0,1,1,1482,Y,P,6840,1,0,YP0_6840_0001,N,"VA, York","VA, York",YP
178,179,0,0,179,209,01674000,"MATTAPONI RIVER NEAR BOWLING GREEN, VA",0,1,1,1461,Y,M,6430,6620,3,YM3_6430_6620,N,"VA, York","VA, York",YM
179,180,0,0,180,210,01674500,"MATTAPONI RIVER NEAR BEULAHVILLE, VA",0,1,1,1462,Y,M,6620,1,4,YM4_6620_0001,N,"VA, York","VA, York",YM
180,181,0,0,181,211,02011400,"JACKSON RIVER NEAR BACOVA, VA",0,1,1,436,J,U,6380,6900,3,JU3_6380_6900,N,"VA, James, Upper","VA, James",JU
181,182,0,0,182,212,02011460,"BACK CREEK NEAR SUNRISE, VA",0,1,1,438,J,U,6590,6600,1,JU1_6590_6600,N,"VA, James, Upper","VA, James",JU
182,183,0,0,183,213,02011470,"BACK CREEK AT SUNRISE, VA",0,1,1,438,J,U,6590,6600,1,JU1_6590_6600,N,"VA, James, Upper","VA, James",JU
183,184,0,0,184,215,02011500,"BACK CREEK NEAR MOUNTAIN GROVE, VA",0,1,1,439,J,U,6600,6810,2,JU2_6600_6810,N,"VA, James, Upper","VA, James",JU
184,185,0,0,185,216,02011800,"JACKSON RIVER BL GATHRIGHT DAM NR HOT SPGS, VA",0,1,1,445,J,U,6900,6950,3,JU3_6900_6950,N,"VA, James, Upper","VA, James",JU
185,186,0,0,186,217,02013000,"DUNLAP CREEK NEAR COVINGTON, VA",0,1,1,448,J,U,7140,7330,2,JU2_7140_7330,N,"VA, James, Upper","VA, James",JU
186,187,0,0,187,218,02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",0,1,1,453,J,U,7330,7000,4,JU4_7330_7000,N,"VA, James, Upper","VA, James",JU
187,188,0,0,188,219,02014000,"POTTS CREEK NEAR COVINGTON, VA",0,1,1,454,J,U,7360,7000,2,JU2_7360_7000,N,"VA, James, Upper","VA, James",JU
188,189,0,0,189,220,02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",0,1,1,434,J,U,6300,6650,1,JU1_6300_6650,N,"VA, James, Upper","VA, James",JU
189,190,0,0,190,221,02016000,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",0,1,1,441,J,U,6650,7300,3,JU3_6650_7300,N,"VA, James, Upper","VA, James",JU
190,191,0,0,191,222,02016500,"JAMES RIVER AT LICK RUN, VA",0,1,1,452,J,U,7300,7510,5,JU5_7300_7510,N,"VA, James, Upper","VA, James",JU
191,192,0,0,192,223,02017500,"JOHNS CREEK AT NEW CASTLE, VA",0,1,1,464,J,U,7630,7490,1,JU1_7630_7490,N,"VA, James, Upper","VA, James",JU
192,193,0,0,193,224,02018000,"CRAIG CREEK AT PARR, VA",0,1,1,456,J,U,7400,7510,3,JU3_7400_7510,N,"VA, James, Upper","VA, James",JU
193,194,0,0,194,225,02018500,"CATAWBA CREEK NEAR CATAWBA, VA",0,1,1,463,J,U,7560,7500,1,JU1_7560_7500,N,"VA, James, Upper","VA, James",JU
194,195,0,0,195,226,02019500,"JAMES RIVER AT BUCHANAN, VA",0,1,1,457,J,U,7420,7160,5,JU5_7420_7160,N,"VA, James, Upper","VA, James",JU
195,196,0,0,196,227,02020500,"CALFPASTURE RIVER ABOVE MILL CREEK AT GOSHEN, VA",0,1,1,437,J,U,6410,6640,2,JU2_6410_6640,N,"VA, James, Upper","VA, James",JU
196,197,0,0,197,228,02021500,"MAURY RIVER AT ROCKBRIDGE BATHS, VA",0,1,1,442,J,U,6790,7260,3,JU3_6790_7260,N,"VA, James, Upper","VA, James",JU
197,198,0,0,198,230,02024000,"MAURY RIVER NEAR BUENA VISTA, VA",0,1,1,451,J,U,7260,7380,4,JU4_7260_7380,N,"VA, James, Upper","VA, James",JU
198,199,0,0,199,231,02025500,"JAMES RIVER AT HOLCOMB ROCK, VA",0,1,1,422,J,L,7160,7440,6,JL6_7160_7440,N,"VA, James, Middle","VA, James",JL
199,200,0,0,200,232,02026000,"JAMES RIVER AT BENT CREEK, VA",0,1,1,430,J,L,7430,7320,6,JL6_7430_7320,N,"VA, James, Middle","VA, James",JL
200,201,0,0,201,233,02027000,"TYE RIVER NEAR LOVINGSTON, VA",0,1,1,425,J,L,7200,7250,1,JL1_7200_7250,N,"VA, James, Middle","VA, James",JL
201,202,0,0,202,234,02027500,"PINEY RIVER AT PINEY RIVER, VA",0,1,1,424,J,L,7190,7250,1,JL1_7190_7250,N,"VA, James, Middle","VA, James",JL
202,203,0,0,203,235,02027800,"BUFFALO RIVER NEAR TYE RIVER, VA",0,1,1,429,J,L,7350,7090,2,JL2_7350_7090,N,"VA, James, Middle","VA, James",JL
203,204,0,0,204,236,02028500,"ROCKFISH RIVER NEAR GREENFIELD, VA",0,1,1,407,J,L,6850,6890,2,JL2_6850_6890,N,"VA, James, Middle","VA, James",JL
204,205,0,0,205,237,02029000,"JAMES RIVER AT SCOTTSVILLE, VA",0,1,1,408,J,L,6890,6990,6,JL6_6890_6990,N,"VA, James, Middle","VA, James",JL
205,206,0,0,206,238,02030000,"HARDWARE RIVER BL BRIERY RUN NR SCOTTSVILLE, VA",0,1,1,409,J,L,6910,6960,1,JL1_6910_6960,N,"VA, James, Middle","VA, James",JL
206,207,0,0,207,239,02030500,"SLATE RIVER NEAR ARVONIA, VA",0,1,1,420,J,L,7120,6970,2,JL2_7120_6970,N,"VA, James, Middle","VA, James",JL
207,208,0,0,208,240,02031000,"MECHUMS RIVER NEAR WHITE HALL, VA",0,1,1,401,J,L,6560,6440,1,JL1_6560_6440,N,"VA, James, Middle","VA, James",JL
208,209,0,0,209,243,02032515,"S F RIVANNA RIVER NEAR CHARLOTTESVILLE, VA",0,1,1,399,J,L,6441,6520,2,JL2_6441_6520,N,"VA, James, Middle","VA, James",JL
209,210,0,0,210,244,02032680,"N F RIVANNA RIVER NEAR PROFFIT, VA",0,1,1,397,J,L,6240,6520,2,JL2_6240_6520,N,"VA, James, Middle","VA, James",JL
210,211,0,0,211,245,02034000,"RIVANNA RIVER AT PALMYRA, VA",0,1,1,402,J,L,6710,6740,4,JL4_6710_6740,N,"VA, James, Middle","VA, James",JL
211,212,0,0,212,246,02035000,"JAMES RIVER AT CARTERSVILLE, VA",0,1,1,415,J,L,7030,6800,7,JL7_7030_6800,N,"VA, James, Middle","VA, James",JL
212,213,0,0,213,248,02037000,"JAMES RIVER AND KANAWHA CANAL NEAR RICHMOND, VA",0,1,1,406,J,L,6800,7070,7,JL7_6800_7070,N,"VA, James, Middle","VA, James",JL
213,214,0,0,214,249,02037500,"JAMES RIVER NEAR RICHMOND, VA",0,1,1,371,J,B,7070,1,7,JB7_7070_0001,N,"VA, James, Middle","VA, James",JB
214,215,0,0,215,252,02039500,"APPOMATTOX RIVER AT FARMVILLE, VA",0,1,1,358,J,A,7550,7280,2,JA2_7550_7280,N,"VA, James, Middle","VA, James",JA
215,216,0,0,216,253,02040000,"APPOMATTOX RIVER AT MATTOAX, VA",0,1,1,350,J,A,7340,7470,4,JA4_7340_7470,N,"VA, James, Middle","VA, James",JA
216,217,0,0,217,254,02041000,"DEEP CREEK NEAR MANNBORO, VA",0,1,1,359,J,A,7570,7480,2,JA2_7570_7480,N,"VA, James, Middle","VA, James",JA
217,218,0,0,218,255,02041650,"APPOMATTOX RIVER AT MATOACA, VA",0,1,1,356,J,A,7520,0,5,JA5_7520_0000,N,"VA, James, Middle","VA, James",JA
218,219,0,0,219,256,02042500,"CHICKAHOMINY RIVER NEAR PROVIDENCE FORGE, VA",0,1,1,362,J,B,6820,7053,3,JB3_6820_7053,N,"VA, James, Middle","VA, James",JB
219,220,0,0,220,257,01485000,"POCOMOKE RIVER NEAR WILLARDS, MD",0,1,1,125,E,L,5270,1,2,EL2_5270_0001,N,"MD, East Shore, Lower","MD, East Shore, Lower",EL
220,221,0,0,221,92,01658000,"MATTAWOMAN CREEK NEAR POMONKEY, MD",0,1,0,641,P,L,5450,0,0,PL0_5450_0000,N,"MD, Potomac, Lower","MD, Potomac, Lower",PL
221,222,0,0,222,77,01610155,"SIDELING HILL CREEK NEAR BELLEGROVE, MD",0,1,0,794,P,U,3100,3690,1,PU1_3100_3690,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
222,223,0,0,223,1,01621410,"BLACKS RUN AT RT 726 AT HARRISONBURG, VA",0,1,0,769,P,S,6150,6160,0,PS0_6150_6160,N,"VA, Shenandoah","VA, Potomac and Shenandoah",PS
223,224,0,0,224,17,MCN0017, ,0,1,1,676,P,L,5830,1,0,PL0_5830_0001,N,"MD, Potomac, Lower","MD, Potomac, Lower",PL
224,225,0,0,225,31,GIC0004, ,0,1,1,647,P,L,5510,1,0,PL0_5510_0001,N,"MD, Potomac, Lower","MD, Potomac, Lower",PL
225,226,0,0,226,38,CLA0019, ,0,1,1,668,P,L,5710,1,0,PL0_5710_0001,N,"MD, Potomac, Lower","MD, Potomac, Lower",PL
226,227,0,0,227,53,NAJ0110, ,0,1,1,658,P,L,5585,0,0,PL0_5585_0000,N,"MD, Potomac, Lower","MD, Potomac, Lower",PL
227,228,0,0,228,8,GEO0009, ,0,1,1,858,P,U,3940,3970,1,PU1_3940_3970,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
228,229,0,0,229,13,WIL0067, ,0,1,1,796,P,U,3140,3680,2,PU2_3140_3680,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
229,230,0,0,230,17,EVI0118, ,0,1,1,813,P,U,3580,3780,1,PU1_3580_3780,N,"PA, Potomac, Upper","PA, Potomac, Upper",PU
230,231,0,0,231,22,TOW0283, ,0,1,1,803,P,U,3370,4020,2,PU2_3370_4020,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
231,232,0,0,232,32,TOC0038, ,0,1,1,789,P,U,3030,3440,1,PU1_3030_3440,N,"PA, Potomac, Upper","PA, Potomac, Upper",PU
232,233,0,0,233,35,LIC0094, ,0,1,1,791,P,U,3080,3640,2,PU2_3080_3640,N,"PA, Potomac, Upper","PA, Potomac, Upper",PU
233,234,0,0,234,42,ANT0366, ,0,1,1,792,P,U,3090,4050,2,PU2_3090_4050,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
234,235,0,0,235,53,CBJ0001, ,0,1,1,747,P,M,4640,4820,0,PM0_4640_4820,N,"MD, Potmac, Middle","MD, Potmac, Middle",PM
235,236,0,0,236,2,01594526,WESTERN BRANCH AT UPPER MARLBORO MD,0,1,0,1394,X,L,4690,1,1,XL1_4690_0001,N,"MD, Patuxent River","MD, Patuxent River",XL
236,237,0,0,237,0,01646580, ,0,0,0,602,P,L,4910,0,7,PL7_4910_0000,N,"VA, Potomac, Middle","VA, Potomac and Shenandoah",PL
237,238,0,0,238,1,01576540,"MILL CREEK AT ESHELMAN MILL ROAD NEAR LYNDON, PA",0,1,0,1024,S,L,2390,2420,1,SL1_2390_2420,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
